agency_no	agency_name	parent_agency_no	agency_level	sort_order	agency_area	official_url	remarks	created_at	updated_at
1	全省庁統一	NULL	0	1				2/2/2025	(自動)
2	北海道	1	1	1	北海道		全省庁統一	2/2/2025	(自動)
3	東北	1	1	1	青森県,岩手県,宮城県,秋田県,山形県,福島県		全省庁統一	2/2/2025	(自動)
4	関東・甲信越	1	1	1	茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,山梨県,長野県		全省庁統一	2/2/2025	(自動)
5	東海・北陸	1	1	1	富山県,石川県,福井県,岐阜県,静岡県,愛知県,三重県		全省庁統一	2/2/2025	(自動)
6	近畿	1	1	1	滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県		全省庁統一	2/2/2025	(自動)
7	中国	1	1	1	鳥取県,島根県,岡山県,広島県,山口県		全省庁統一	2/2/2025	(自動)
8	四国	1	1	1	徳島県,香川県,愛媛県,高知県		全省庁統一	2/2/2025	(自動)
9	九州・沖縄	1	1	1	福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県		全省庁統一	2/2/2025	(自動)
10	防衛省	NULL	0	2			最上位発注機関	2/2/2025	(自動)
11	大臣官房 (防衛省)	10	1	2			防衛省_本省内部部局	2/2/2025	(自動)
12	防衛政策局 (防衛省)	10	1	2			防衛省_本省内部部局	2/2/2025	(自動)
13	整備計画局 (防衛省)	10	1	2			防衛省_本省内部部局	2/2/2025	(自動)
14	人事教育局 (防衛省)	10	1	2			防衛省_本省内部部局	2/2/2025	(自動)
15	地方協力局 (防衛省)	10	1	2			防衛省_本省内部部局	2/2/2025	(自動)
16	大臣官房_会計課	11	2	2			会計課(大臣官房配下)	2/2/2025	(自動)
17	人事教育局_厚生課	14	2	2			厚生課(人事教育局配下)	2/2/2025	(自動)
18	地方協力局_在日米軍協力課	15	2	2			在日米軍協力課(地方協力局配下)	2/2/2025	(自動)
19	防衛人事審議会	10	1	2			防衛省_審議会等	2/2/2025	(自動)
20	防衛施設中央審議会	10	1	2			防衛省_審議会等	2/2/2025	(自動)
21	自衛隊員倫理審査会	10	1	2			防衛省_審議会等	2/2/2025	(自動)
22	防衛研究所	10	1	2			防衛省_施設等機関	2/2/2025	(自動)
23	防衛医科大学校	10	1	2			防衛省_施設等機関	2/2/2025	(自動)
24	防衛会議	10	1	2			防衛省_特別の機関	2/2/2025	(自動)
25	防衛監察本部	10	1	2			防衛省_特別の機関	2/2/2025	(自動)
26	情報本部	10	1	2			防衛省_特別の機関	2/2/2025	(自動)
27	統合幕僚監部	10	1	2			防衛省_特別の機関 (部隊同様)	2/2/2025	(自動)
28	陸上幕僚監部	10	1	2			防衛省_特別の機関 (部隊同様)	2/2/2025	(自動)
29	海上幕僚監部	10	1	2			防衛省_特別の機関 (部隊同様)	2/2/2025	(自動)
30	航空幕僚監部	10	1	2			防衛省_特別の機関 (部隊同様)	2/2/2025	(自動)
31	北海道防衛局	10	1	2	北海道		防衛省_地方支分部局	2/2/2025	(自動)
32	帯広防衛支局	10	1	2	オホーツク総合振興局管内,十勝総合振興局管内,釧路総合振興局管内,根室振興局管内		防衛省_地方支分部局	2/2/2025	(自動)
33	東北防衛局	10	1	2	青森県,岩手県,宮城県,秋田県,山形県,福島県		防衛省_地方支分部局	2/2/2025	(自動)
34	北関東防衛局	10	1	2	茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,新潟県,長野県		防衛省_地方支分部局	2/2/2025	(自動)
35	南関東防衛局	10	1	2	神奈川県,山梨県,静岡県		防衛省_地方支分部局	2/2/2025	(自動)
36	東海防衛支局	10	1	2	岐阜県,愛知県,三重県		防衛省_地方支分部局	2/2/2025	(自動)
37	近畿中部防衛局	10	1	2	富山県,石川県,福井県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県		防衛省_地方支分部局	2/2/2025	(自動)
38	中国四国防衛局	10	1	2	鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県		防衛省_地方支分部局	2/2/2025	(自動)
39	九州防衛局	10	1	2	福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県		防衛省_地方支分部局	2/2/2025	(自動)
40	沖縄防衛局	10	1	2	沖縄県		防衛省_地方支分部局	2/2/2025	(自動)
41	防衛装備庁	10	1	2			防衛省_外局	2/2/2025	(自動)
42	陸上自衛隊	10	1	2			防衛省_部隊及び機関(陸上自衛隊全体)	2/2/2025	(自動)
43	統合幕僚長	42	2	2			陸上自衛隊_トップ付近	2/2/2025	(自動)
44	統合幕僚監部	42	2	2			(特別の機関にも重複記載)	2/2/2025	(自動)
45	陸上幕僚長	42	2	2				2/2/2025	(自動)
46	陸上幕僚監部	42	2	2			(特別の機関にも重複記載)	2/2/2025	(自動)
47	中央会計隊	46	3	2			陸上幕僚監部配下	2/2/2025	(自動)
48	中央輸送隊	46	3	2			陸上幕僚監部配下	2/2/2025	(自動)
49	陸上総隊	42	2	2				2/2/2025	(自動)
50	陸上総隊司令部	49	3	2	朝霞			2/2/2025	(自動)
51	第1空挺団	49	3	2	習志野			2/2/2025	(自動)
52	水陸機動団	49	3	2	相浦			2/2/2025	(自動)
53	第1ヘリコプター団	49	3	2	木更津			2/2/2025	(自動)
54	システム通信団	49	3	2	市ヶ谷			2/2/2025	(自動)
55	中央即応連隊	49	3	2	宇都宮			2/2/2025	(自動)
56	特殊作戦群	49	3	2	習志野			2/2/2025	(自動)
57	電子作戦群	49	3	2	朝霞			2/2/2025	(自動)
58	その他の部隊	49	3	2	陸上総隊			2/2/2025	(自動)
59	北部方面隊	42	2	2			陸上自衛隊_北部方面隊	2/2/2025	(自動)
60	第2師団	59	3	2	旭川			2/2/2025	(自動)
61	第5旅団	59	3	2	帯広			2/2/2025	(自動)
62	第7旅団	59	3	2	東千歳			2/2/2025	(自動)
63	第11旅団	59	3	2	真駒内			2/2/2025	(自動)
64	第1特科団	59	3	2	北千歳			2/2/2025	(自動)
65	第1高射特科団	59	3	2	千歳			2/2/2025	(自動)
66	第3施設団	59	3	2	南恵庭			2/2/2025	(自動)
67	北部方面通信群	59	3	2	東千歳			2/2/2025	(自動)
68	北部方面航空隊	59	3	2	丘珠			2/2/2025	(自動)
69	その他の部隊	59	3	2	北部方面隊			2/2/2025	(自動)
70	東北方面隊	42	2	2			陸上自衛隊_東北方面隊	2/2/2025	(自動)
