partner_id	categories
ptn-1	土木一式
ptn-1	しゅんせつ
ptn-1	消防施設
ptn-1	道路維持
ptn-1	地下水調査
ptn-2	電気
ptn-2	熱絶縁
ptn-2	補償コンサル
ptn-2	交通誘導
ptn-2	用地測量
ptn-2	道路点検
ptn-3	板金
ptn-3	清掃施設
ptn-3	河川維持
ptn-3	騒音振動調査
ptn-3	ドローン測量
ptn-3	下水道点検
ptn-3	LCC分析
ptn-4	電気通信
ptn-4	土木コンサル
ptn-4	廃棄物処理
ptn-4	路線測量
ptn-4	河川点検
ptn-4	劣化診断
ptn-4	環境管理
ptn-4	電気
ptn-5	解体
ptn-5	公園管理
ptn-5	大気調査
ptn-5	3Dスキャン
ptn-5	ガス管点検
ptn-5	VE提案
ptn-5	建築一式
ptn-5	板金
ptn-5	清掃施設
ptn-6	建築コンサル
ptn-6	産廃収集
ptn-6	河川測量
ptn-6	ダム点検
ptn-6	補修設計
ptn-6	ISO9001
ptn-6	管
ptn-6	電気通信
ptn-6	土木コンサル
ptn-6	廃棄物処理
ptn-7	街路樹管理
ptn-7	水質調査
ptn-7	BIM/CIM
ptn-7	電力設備点検
ptn-7	積算
ptn-7	大工
ptn-7	ガラス
ptn-7	解体
ptn-7	公園管理
ptn-7	大気調査
ptn-7	3Dスキャン
ptn-8	アスベスト除去
ptn-8	深浅測量
ptn-8	港湾点検
ptn-8	補強設計
ptn-8	ISO14001
ptn-8	タイル・れんが・ブロック
ptn-8	造園
ptn-8	建築コンサル
ptn-8	産廃収集
ptn-8	河川測量
ptn-8	ダム点検
ptn-8	補修設計
ptn-9	生態系調査
ptn-9	GIS
ptn-9	通信設備点検
ptn-9	原価管理
ptn-9	左官
ptn-9	塗装
ptn-9	測量
ptn-9	街路樹管理
ptn-9	水質調査
ptn-9	BIM/CIM
ptn-9	電力設備点検
ptn-9	積算
ptn-9	大工
ptn-10	地形測量
ptn-10	空港点検
ptn-10	長寿命化計画
ptn-10	ISO45001
ptn-10	鋼構造物
ptn-10	さく井
ptn-10	環境調査
ptn-10	アスベスト除去
ptn-10	深浅測量
ptn-10	港湾点検
ptn-10	補強設計
ptn-10	ISO14001
ptn-10	タイル・れんが・ブロック
ptn-10	造園
ptn-11	橋梁点検
ptn-11	建築物点検
ptn-11	工程管理
ptn-11	とび・土工
ptn-11	防水
ptn-11	地質調査
ptn-11	除草
ptn-11	生態系調査
ptn-11	GIS
ptn-11	通信設備点検
ptn-11	原価管理
ptn-11	左官
ptn-11	塗装
ptn-11	測量
ptn-11	街路樹管理
ptn-12	鉄道点検
ptn-12	維持管理計画
ptn-12	COHSMS
ptn-12	鉄筋
ptn-12	建具
ptn-12	交通量調査
ptn-12	PCB処理
ptn-12	地形測量
ptn-12	空港点検
ptn-12	長寿命化計画
ptn-12	ISO45001
ptn-12	鋼構造物
ptn-12	さく井
ptn-12	環境調査
ptn-12	アスベスト除去
ptn-12	深浅測量
ptn-13	設備点検
ptn-13	品質管理
ptn-13	石
ptn-13	内装仕上
ptn-13	土木設計
ptn-13	清掃
ptn-13	文化財調査
ptn-13	橋梁点検
ptn-13	建築物点検
ptn-13	工程管理
ptn-13	とび・土工
ptn-13	防水
ptn-13	地質調査
ptn-13	除草
ptn-13	生態系調査
ptn-13	GIS
ptn-13	通信設備点検
ptn-14	アセットマネジメント
ptn-14	エコアクション21
ptn-14	舗装
ptn-14	水道施設
ptn-14	不動産鑑定
ptn-14	土壌汚染調査
ptn-14	基準点測量
ptn-14	鉄道点検
ptn-14	維持管理計画
ptn-14	COHSMS
ptn-14	鉄筋
ptn-14	建具
ptn-14	交通量調査
ptn-14	PCB処理
ptn-14	地形測量
ptn-14	空港点検
ptn-14	長寿命化計画
ptn-14	ISO45001
ptn-15	安全管理
ptn-15	屋根
ptn-15	機械器具設置
ptn-15	建築設計
ptn-15	警備
ptn-15	埋蔵文化財
ptn-15	トンネル点検
ptn-15	設備点検
ptn-15	品質管理
ptn-15	石
ptn-15	内装仕上
ptn-15	土木設計
ptn-15	清掃
