partner_id	no	name	postalCode	address	phone	email	fax	url	surveyCount	rating	resultCount	representative	established	capital	employeeCount
ptn-1	1	株式会社山田建設	001-0011	北海道札幌市北区北11条西4-2-1	03-1000-5000	info@partner1.co.jp	03-1000-5001		5	0	10	山田太郎	1950	100000000	10
ptn-2	2	田中土木有限会社	030-0801	青森県青森市新町1-3-7	04-1001-5001	info@partner2.co.jp	04-1001-5002	https://www.partner2.co.jp	6	0.5	11	田中一郎	1951	200000000	20
ptn-3	3	合同会社佐藤工業	020-0022	岩手県盛岡市大通1-2-1	05-1002-5002	info@partner3.co.jp	05-1002-5003	https://www.partner3.co.jp	7	1	12	佐藤次郎	1952	300000000	30
ptn-4	4	鈴木工務店株式会社	980-0021	宮城県仙台市青葉区中央2-9-27	06-1003-5003	info@partner4.co.jp	06-1003-5004	https://www.partner4.co.jp	8	1.5	13	鈴木三郎	1953	400000000	40
ptn-5	5	有限会社高橋組	010-0001	秋田県秋田市中通1-4-3	07-1004-5004	info@partner5.co.jp	07-1004-5005		9	2	14	高橋四郎	1954	500000000	50
ptn-6	6	渡辺土建合同会社	990-0039	山形県山形市香澄町1-3-15	08-1005-5005	info@partner6.co.jp	08-1005-5006	https://www.partner6.co.jp	10	2.5	15	渡辺五郎	1955	600000000	60
ptn-7	7	株式会社伊藤建築	960-8031	福島県福島市栄町11-25	03-1006-5006	info@partner7.co.jp	03-1006-5007	https://www.partner7.co.jp	11	3	16	伊藤六郎	1956	700000000	70
ptn-8	8	中村設備有限会社	310-0801	茨城県水戸市桜川1-1-25	04-1007-5007	info@partner8.co.jp	04-1007-5008	https://www.partner8.co.jp	12	0	17	中村七郎	1957	800000000	80
ptn-9	9	合同会社小林電気	320-0033	栃木県宇都宮市本町4-15	05-1008-5008	info@partner9.co.jp	05-1008-5009		13	0.5	18	小林八郎	1958	900000000	90
ptn-10	10	加藤舗装株式会社	371-0026	群馬県前橋市大手町1-1-1	06-1009-5009	info@partner10.co.jp	06-1009-5010	https://www.partner10.co.jp	14	1	19	加藤九郎	1959	1000000000	100
