partner_id	evaluationId	announcementId	announcementNo	announcementTitle	branchName	workStatus	evaluationStatus	priority	bidType	category	prefecture	publishDate	deadline	evaluatedAt	organization
ptn-1															
ptn-2	8	ann-2	2	道路舗装工事（南工区）	広島支店	in_progress	all_met	3	open_competitive	舗装工事	北海道	2025-10-24	2025-11-21	2025-10-26T16:49:00	国土交通省 関東地方整備局
ptn-3	28	ann-5	5	道路新設工事（中央地区・第5工区）	福岡支店	in_progress	unmet	4	open_competitive	土木工事	北海道	2025-10-17	2025-11-22	2025-10-18T09:09:00	国土交通省 関東地方整備局
ptn-3	15	ann-3	3	道路維持修繕工事（第3期）	四国支店	in_progress	other_only_unmet	4	open_competitive	土木工事	北海道	2025-10-21	2025-11-21	2025-10-24T14:38:00	国土交通省 関東地方整備局
ptn-4	48	ann-8	8	交差点改良工事（第8期）	横浜支店	in_progress	unmet	5	negotiated_contract	土木工事	宮城県	2025-10-13	2025-11-23	2025-10-16T11:29:00	国土交通省 関東地方整備局
ptn-4	35	ann-6	6	令和8年度 本地区歩道整備工事	新潟支店	in_progress	unmet	5	designated_competitive	土木工事	青森県	2025-10-19	2025-11-22	2025-10-21T16:58:00	国土交通省 関東地方整備局
ptn-4	22	ann-4	4	西道路拡幅工事その4	名古屋支店	not_started	unmet	4	open_competitive	土木工事	北海道	2025-10-15	2025-11-21	2025-10-16T12:27:00	国土交通省 関東地方整備局
ptn-5	68	ann-12	12	防護柵設置工事（下流工区）	沖縄支店	in_progress	all_met	4	document_request	土木工事	福島県	2025-10-24	2025-11-24	2025-10-26T13:49:00	国土交通省 関東地方整備局
ptn-5	55	ann-10	10	道路標識設置工事（第四地区・第10工区）	関東支店	in_progress	all_met	3	preferred_designation	土木工事	秋田県	2025-10-14	2025-11-23	2025-10-15T09:18:00	国土交通省 関東地方整備局
ptn-5	29	ann-5	5	道路新設工事（中央地区・第5工区）	千葉支店	completed	unmet	5	open_competitive	土木工事	北海道	2025-10-17	2025-11-22	2025-10-19T10:16:00	国土交通省 関東地方整備局
ptn-5	42	ann-7	7	自転車道整備工事（第一工区）	東京支店	not_started	unmet	5	designated_competitive	土木工事	岩手県	2025-10-22	2025-11-22	2025-10-25T14:47:00	国土交通省 関東地方整備局
ptn-6	88	ann-15	15	橋梁塗装工事（A地区・第5工区）	北陸支店	in_progress	unmet	5	other	塗装工事	栃木県	2025-10-27	2025-11-25	2025-10-28T15:09:00	国土交通省 関東地方整備局
ptn-6	62	ann-11	11	令和7年度 上流地区道路区画線設置工事	九州支店	not_started	all_met	4	open_counter	塗装工事	山形県	2025-10-17	2025-11-24	2025-10-19T16:07:00	国土交通省 関東地方整備局
ptn-6	75	ann-13	13	橋梁補修工事（第3期）	札幌支店	in_progress	other_only_unmet	5	opinion_request	土木工事	福島県	2025-10-14	2025-11-24	2025-10-17T11:38:00	国土交通省 関東地方整備局
ptn-6	49	ann-9	9	第三道路照明設置工事その9	広島支店	completed	all_met	3	planning_competition	電気工事	宮城県	2025-10-18	2025-11-23	2025-10-19T12:36:00	国土交通省 関東地方整備局
ptn-6	36	ann-6	6	令和8年度 本地区歩道整備工事	本店	in_progress	unmet	5	designated_competitive	土木工事	青森県	2025-10-19	2025-11-22	2025-10-22T17:05:00	国土交通省 関東地方整備局
ptn-7	108	ann-18	18	橋梁床版補修工事（第8期）	千葉支店	in_progress	unmet	3	open_competitive	土木工事	埼玉県	2025-10-18	2025-11-26	2025-10-21T17:29:00	国土交通省 関東地方整備局
ptn-7	95	ann-16	16	令和6年度 B地区橋梁架替工事	大阪支店	in_progress	unmet	5	open_competitive	土木工事	群馬県	2025-10-18	2025-11-25	2025-10-20T13:58:00	国土交通省 関東地方整備局
ptn-7	69	ann-12	12	防護柵設置工事（下流工区）	福岡支店	completed	other_only_unmet	5	document_request	土木工事	福島県	2025-10-24	2025-11-24	2025-10-27T14:56:00	国土交通省 関東地方整備局
ptn-7	82	ann-14	14	右岸橋梁耐震補強工事その4	静岡支店	not_started	unmet	5	unknown	土木工事	茨城県	2025-10-17	2025-11-24	2025-10-18T09:27:00	国土交通省 関東地方整備局
ptn-7	43	ann-8	8	交差点改良工事（第8期）	仙台支店	not_started	all_met	3	negotiated_contract	土木工事	宮城県	2025-10-13	2025-11-23	2025-10-14T15:54:00	国土交通省 関東地方整備局
ptn-7	56	ann-10	10	道路標識設置工事（第四地区・第10工区）	四国支店	in_progress	all_met	4	preferred_designation	土木工事	秋田県	2025-10-14	2025-11-23	2025-10-16T10:25:00	国土交通省 関東地方整備局
ptn-8	128	ann-22	22	河川浚渫工事（南工区）	広島支店	in_progress	all_met	5	designated_competitive	土木工事	千葉県	2025-10-25	2025-11-27	2025-10-27T10:49:00	国土交通省 関東地方整備局
ptn-8	115	ann-20	20	橋梁支承補修工事（丙地区・第10工区）	東北支店	in_progress	all_met	4	open_competitive	土木工事	千葉県	2025-10-21	2025-11-26	2025-10-22T15:18:00	国土交通省 関東地方整備局
ptn-8	89	ann-15	15	橋梁塗装工事（A地区・第5工区）	横浜支店	completed	unmet	5	other	塗装工事	栃木県	2025-10-27	2025-11-25	2025-10-29T16:16:00	国土交通省 関東地方整備局
ptn-8	102	ann-17	17	歩道橋設置工事（C工区）	京都支店	not_started	unmet	3	open_competitive	土木工事	埼玉県	2025-10-16	2025-11-25	2025-10-19T11:47:00	国土交通省 関東地方整備局
ptn-8	63	ann-11	11	令和7年度 上流地区道路区画線設置工事	名古屋支店	not_started	other_only_unmet	4	open_counter	塗装工事	山形県	2025-10-17	2025-11-24	2025-10-20T17:14:00	国土交通省 関東地方整備局
ptn-8	76	ann-13	13	橋梁補修工事（第3期）	新潟支店	in_progress	unmet	5	opinion_request	土木工事	福島県	2025-10-14	2025-11-24	2025-10-15T12:45:00	国土交通省 関東地方整備局
ptn-8	50	ann-9	9	第三道路照明設置工事その9	北陸支店	completed	all_met	4	planning_competition	電気工事	宮城県	2025-10-18	2025-11-23	2025-10-20T13:43:00	国土交通省 関東地方整備局
ptn-9	148	ann-25	25	排水機場整備工事（中央地区・第5工区）	福岡支店	in_progress	unmet	2	preferred_designation	機械設備工事	東京都	2025-10-20	2025-11-28	2025-10-21T12:09:00	国土交通省 関東地方整備局
ptn-9	122	ann-21	21	令和8年度 北地区河川護岸工事	仙台支店	not_started	all_met	5	designated_competitive	土木工事	千葉県	2025-10-22	2025-11-27	2025-10-24T13:07:00	国土交通省 関東地方整備局
ptn-9	135	ann-23	23	河川改修工事（第3期）	四国支店	in_progress	other_only_unmet	5	negotiated_contract	土木工事	東京都	2025-10-18	2025-11-27	2025-10-21T17:38:00	国土交通省 関東地方整備局
ptn-9	109	ann-19	19	乙橋梁伸縮装置補修工事その9	沖縄支店	completed	all_met	4	open_competitive	土木工事	埼玉県	2025-10-28	2025-11-26	2025-10-29T09:36:00	国土交通省 関東地方整備局
ptn-9	96	ann-16	16	令和6年度 B地区橋梁架替工事	神戸支店	in_progress	unmet	3	open_competitive	土木工事	群馬県	2025-10-18	2025-11-25	2025-10-21T14:05:00	国土交通省 関東地方整備局
ptn-9	70	ann-12	12	防護柵設置工事（下流工区）	千葉支店	completed	unmet	5	document_request	土木工事	福島県	2025-10-24	2025-11-24	2025-10-25T15:03:00	国土交通省 関東地方整備局
ptn-9	83	ann-14	14	右岸橋梁耐震補強工事その4	東京支店	not_started	unmet	5	unknown	土木工事	茨城県	2025-10-17	2025-11-24	2025-10-19T10:34:00	国土交通省 関東地方整備局
ptn-9	57	ann-10	10	道路標識設置工事（第四地区・第10工区）	大阪支店	in_progress	other_only_unmet	4	preferred_designation	土木工事	秋田県	2025-10-14	2025-11-23	2025-10-17T11:32:00	国土交通省 関東地方整備局
ptn-10	168	ann-28	28	河川環境整備工事（第8期）	横浜支店	in_progress	unmet	4	opinion_request	土木工事	東京都	2025-10-19	2025-11-29	2025-10-22T14:29:00	国土交通省 関東地方整備局
ptn-10	155	ann-26	26	令和7年度 本地区水門改修工事	新潟支店	in_progress	unmet	3	open_counter	機械設備工事	東京都	2025-10-29	2025-11-28	2025-10-31T10:58:00	国土交通省 関東地方整備局
ptn-10	129	ann-22	22	河川浚渫工事（南工区）	北陸支店	completed	other_only_unmet	5	designated_competitive	土木工事	千葉県	2025-10-25	2025-11-27	2025-10-28T11:56:00	国土交通省 関東地方整備局
ptn-10	142	ann-24	24	西堤防補強工事その4	名古屋支店	not_started	unmet	2	planning_competition	土木工事	東京都	2025-10-17	2025-11-27	2025-10-18T15:27:00	国土交通省 関東地方整備局
ptn-10	103	ann-18	18	橋梁床版補修工事（第8期）	九州支店	not_started	all_met	4	open_competitive	土木工事	埼玉県	2025-10-18	2025-11-26	2025-10-19T12:54:00	国土交通省 関東地方整備局
ptn-10	116	ann-20	20	橋梁支承補修工事（丙地区・第10工区）	札幌支店	in_progress	all_met	5	open_competitive	土木工事	千葉県	2025-10-21	2025-11-26	2025-10-23T16:25:00	国土交通省 関東地方整備局
ptn-10	90	ann-15	15	橋梁塗装工事（A地区・第5工区）	関東支店	completed	unmet	2	other	塗装工事	栃木県	2025-10-27	2025-11-25	2025-10-30T17:23:00	国土交通省 関東地方整備局
ptn-10	64	ann-11	11	令和7年度 上流地区道路区画線設置工事	京都支店	not_started	unmet	5	open_counter	塗装工事	山形県	2025-10-17	2025-11-24	2025-10-18T09:21:00	国土交通省 関東地方整備局
ptn-10	77	ann-13	13	橋梁補修工事（第3期）	本店	in_progress	unmet	5	opinion_request	土木工事	福島県	2025-10-14	2025-11-24	2025-10-16T13:52:00	国土交通省 関東地方整備局
ptn-11	188	ann-32	32	トンネル換気設備工事（下流工区）	沖縄支店	in_progress	all_met	5	open_competitive	機械設備工事	東京都	2025-11-02	2025-11-30	2025-11-04T16:49:00	国土交通省 関東地方整備局
ptn-11	175	ann-30	30	トンネル補修工事（第四地区・第10工区）	関東支店	in_progress	all_met	5	other	土木工事	東京都	2025-11-01	2025-11-29	2025-11-02T12:18:00	国土交通省 関東地方整備局
ptn-11	149	ann-25	25	排水機場整備工事（中央地区・第5工区）	千葉支店	completed	unmet	3	preferred_designation	機械設備工事	東京都	2025-10-20	2025-11-28	2025-10-22T13:16:00	国土交通省 関東地方整備局
ptn-11	162	ann-27	27	樋門補修工事（第一工区）	東京支店	not_started	unmet	4	document_request	土木工事	東京都	2025-10-21	2025-11-28	2025-10-24T17:47:00	国土交通省 関東地方整備局
ptn-11	123	ann-21	21	令和8年度 北地区河川護岸工事	静岡支店	not_started	other_only_unmet	5	designated_competitive	土木工事	千葉県	2025-10-22	2025-11-27	2025-10-25T14:14:00	国土交通省 関東地方整備局
ptn-11	136	ann-23	23	河川改修工事（第3期）	大阪支店	in_progress	unmet	1	negotiated_contract	土木工事	東京都	2025-10-18	2025-11-27	2025-10-19T09:45:00	国土交通省 関東地方整備局
ptn-11	110	ann-19	19	乙橋梁伸縮装置補修工事その9	福岡支店	completed	all_met	5	open_competitive	土木工事	埼玉県	2025-10-28	2025-11-26	2025-10-30T10:43:00	国土交通省 関東地方整備局
ptn-11	97	ann-17	17	歩道橋設置工事（C工区）	四国支店	in_progress	all_met	4	open_competitive	土木工事	埼玉県	2025-10-16	2025-11-25	2025-10-17T15:12:00	国土交通省 関東地方整備局
ptn-11	71	ann-12	12	防護柵設置工事（下流工区）	東北支店	not_started	unmet	5	document_request	土木工事	福島県	2025-10-24	2025-11-24	2025-10-26T16:10:00	国土交通省 関東地方整備局
ptn-11	84	ann-14	14	右岸橋梁耐震補強工事その4	広島支店	not_started	unmet	2	unknown	土木工事	茨城県	2025-10-17	2025-11-24	2025-10-20T11:41:00	国土交通省 関東地方整備局
