partner_id	ordererName	category	region	value	grade
ptn-1	中国	その他	愛知県	42	D
ptn-1	中国	建物管理等各種保守管理	愛知県	42	D
ptn-1	中国	調査・研究	愛知県	42	D
ptn-1	中国	賃貸借	愛知県	42	D
ptn-1	中国四国防衛局	建築	愛知県	631	D
ptn-1	中国四国防衛局	防水	愛知県	646	D
ptn-1	九州・沖縄	その他	愛知県	42	D
ptn-1	九州・沖縄	建物管理等各種保守管理	愛知県	42	D
ptn-1	九州・沖縄	調査・研究	愛知県	42	D
ptn-1	九州・沖縄	賃貸借	愛知県	42	D
ptn-1	九州防衛局	建築	愛知県	631	D
ptn-1	九州防衛局	防水	愛知県	646	D
ptn-1	全省庁統一	全省庁統一	愛知県	42	D
ptn-1	全省庁統一	役務の提供等	愛知県	42	D
ptn-1	全省庁統一	物品の販売	愛知県	42	D
ptn-1	北海道	その他	愛知県	42	D
ptn-1	北海道	建物管理等各種保守管理	愛知県	42	D
ptn-1	北海道	調査・研究	愛知県	42	D
ptn-1	北海道	賃貸借	愛知県	42	D
ptn-1	北海道防衛局	建築	愛知県	631	D
ptn-1	北海道防衛局	防水	愛知県	646	D
ptn-1	北関東防衛局	建築	愛知県	631	D
ptn-1	北関東防衛局	防水	愛知県	646	D
ptn-1	南関東防衛局	建築	愛知県	631	D
ptn-1	南関東防衛局	防水	愛知県	646	D
ptn-1	四国	その他	愛知県	42	D
ptn-1	四国	建物管理等各種保守管理	愛知県	42	D
ptn-1	四国	調査・研究	愛知県	42	D
ptn-1	四国	賃貸借	愛知県	42	D
ptn-1	帯広防衛支局	建築	愛知県	631	D
ptn-1	帯広防衛支局	防水	愛知県	646	D
ptn-1	東北	その他	愛知県	42	D
ptn-1	東北	建物管理等各種保守管理	愛知県	42	D
ptn-1	東北	調査・研究	愛知県	42	D
ptn-1	東北	賃貸借	愛知県	42	D
ptn-1	東北防衛局	建築	愛知県	631	D
ptn-1	東北防衛局	防水	愛知県	646	D
ptn-1	東海・北陸	その他	愛知県	42	D
ptn-1	東海・北陸	建物管理等各種保守管理	愛知県	42	D
ptn-1	東海・北陸	調査・研究	愛知県	42	D
ptn-1	東海・北陸	賃貸借	愛知県	42	D
ptn-1	東海防衛支局	建築	愛知県	631	D
ptn-1	東海防衛支局	防水	愛知県	646	D
ptn-1	沖縄防衛局	建築	愛知県	631	D
ptn-1	沖縄防衛局	防水	愛知県	646	D
ptn-1	近畿	その他	愛知県	42	D
ptn-1	近畿	建物管理等各種保守管理	愛知県	42	D
ptn-1	近畿	調査・研究	愛知県	42	D
ptn-1	近畿	賃貸借	愛知県	42	D
ptn-1	近畿中部防衛局	建築	愛知県	631	D
ptn-1	近畿中部防衛局	防水	愛知県	646	D
ptn-1	関東・甲信越	その他	愛知県	42	D
ptn-1	関東・甲信越	建物管理等各種保守管理	愛知県	42	D
ptn-1	関東・甲信越	調査・研究	愛知県	42	D
ptn-1	関東・甲信越	賃貸借	愛知県	42	D
ptn-1	防衛省	建築	愛知県	631	D
ptn-1	防衛省	防水	愛知県	646	D
ptn-2	中国	その他	福岡県		C
ptn-2	中国	建物管理等各種保守管理	福岡県		C
ptn-2	中国	役務の提供等	福岡県		C
ptn-2	中国四国防衛局	建築	福岡県	639	D
ptn-2	中国四国防衛局	解体	福岡県	512	C
ptn-2	中国四国防衛局	防水	福岡県	492	C
ptn-2	九州・沖縄	その他	福岡県		C
ptn-2	九州・沖縄	建物管理等各種保守管理	福岡県		C
ptn-2	九州・沖縄	役務の提供等	福岡県		C
ptn-2	九州防衛局	建築	福岡県	639	D
ptn-2	九州防衛局	解体	福岡県	512	C
ptn-2	九州防衛局	防水	福岡県	492	C
ptn-2	全省庁統一	全省庁統一	福岡県		C
ptn-2	全省庁統一	役務の提供等	福岡県		C
ptn-2	北海道防衛局	建築	福岡県	639	D
ptn-2	北海道防衛局	解体	福岡県	512	C
ptn-2	北海道防衛局	防水	福岡県	492	C
ptn-2	北関東防衛局	建築	福岡県	639	D
ptn-2	北関東防衛局	解体	福岡県	512	C
ptn-2	北関東防衛局	防水	福岡県	492	C
ptn-2	南関東防衛局	建築	福岡県	639	D
ptn-2	南関東防衛局	解体	福岡県	512	C
ptn-2	南関東防衛局	防水	福岡県	492	C
ptn-2	四国	その他	福岡県		C
ptn-2	四国	建物管理等各種保守管理	福岡県		C
ptn-2	四国	役務の提供等	福岡県		C
ptn-2	帯広防衛支局	建築	福岡県	639	D
ptn-2	帯広防衛支局	解体	福岡県	512	C
ptn-2	帯広防衛支局	防水	福岡県	492	C
ptn-2	東北	その他	福岡県		C
ptn-2	東北	建物管理等各種保守管理	福岡県		C
ptn-2	東北	役務の提供等	福岡県		C
ptn-2	東北防衛局	建築	福岡県	639	D
ptn-2	東北防衛局	解体	福岡県	512	C
ptn-2	東北防衛局	防水	福岡県	492	C
ptn-2	東海・北陸	その他	福岡県		C
ptn-2	東海・北陸	建物管理等各種保守管理	福岡県		C
ptn-2	東海・北陸	役務の提供等	福岡県		C
ptn-2	沖縄防衛局	建築	福岡県	639	D
ptn-2	沖縄防衛局	解体	福岡県	512	C
ptn-2	沖縄防衛局	防水	福岡県	492	C
ptn-2	近畿	その他	福岡県		C
ptn-2	近畿	建物管理等各種保守管理	福岡県		C
ptn-2	近畿	役務の提供等	福岡県		C
ptn-2	近畿中部防衛局	建築	福岡県	639	D
ptn-2	近畿中部防衛局	解体	福岡県	512	C
ptn-2	近畿中部防衛局	防水	福岡県	492	C
ptn-2	関東・甲信越	その他	福岡県		C
ptn-2	関東・甲信越	建物管理等各種保守管理	福岡県		C
ptn-2	関東・甲信越	役務の提供等	福岡県		C
ptn-2	防衛省	建築	福岡県	639	D
ptn-2	防衛省	解体	福岡県	512	C
ptn-2	防衛省	防水	福岡県	492	C
