partner_id	ordererName	ordereName
ptn-1		
ptn-2	文部科学省	
ptn-2	最高裁判所	
ptn-2	財務省	
ptn-3	経済産業省	
ptn-3	国土交通省北海道開発局	
ptn-3	林野庁	
ptn-3	環境省	
ptn-4	農林水産省地方農政局	
ptn-4	法務省	
ptn-4	農林水産省大臣官房予算課	
ptn-4	防衛省	
ptn-4	内閣府	
ptn-5	環境省	
ptn-5	厚生労働省	
ptn-6		
ptn-7	文部科学省	
ptn-7	最高裁判所	
ptn-7	財務省	
ptn-7	農林水産省地方農政局	
ptn-8	経済産業省	
ptn-8	国土交通省北海道開発局	
ptn-8	林野庁	
ptn-8	環境省	
ptn-8	厚生労働省	
ptn-9	農林水産省地方農政局	
ptn-9	法務省	
ptn-10	環境省	
ptn-10	厚生労働省	
ptn-10	国土交通省大臣官房会計課所掌機関	
ptn-11		
ptn-12	文部科学省	
ptn-12	最高裁判所	
ptn-12	財務省	
ptn-12	農林水産省地方農政局	
ptn-12	法務省	
ptn-13	経済産業省	
ptn-13	国土交通省北海道開発局	
ptn-14	農林水産省地方農政局	
ptn-14	法務省	
ptn-14	農林水産省大臣官房予算課	
ptn-15	環境省	
ptn-15	厚生労働省	
ptn-15	国土交通省大臣官房会計課所掌機関	
ptn-15	文部科学省	
ptn-16		
ptn-17	文部科学省	
ptn-17	最高裁判所	
ptn-18	経済産業省	
ptn-18	国土交通省北海道開発局	
ptn-18	林野庁	
ptn-19	農林水産省地方農政局	
ptn-19	法務省	
ptn-19	農林水産省大臣官房予算課	
ptn-19	防衛省	
ptn-20	環境省	
ptn-20	厚生労働省	
ptn-20	国土交通省大臣官房会計課所掌機関	
ptn-20	文部科学省	
ptn-20	最高裁判所	
ptn-21		
ptn-22	文部科学省	
ptn-22	最高裁判所	
ptn-22	財務省	
ptn-23	経済産業省	
ptn-23	国土交通省北海道開発局	
ptn-23	林野庁	
ptn-23	環境省	
ptn-24	農林水産省地方農政局	
ptn-24	法務省	
ptn-24	農林水産省大臣官房予算課	
ptn-24	防衛省	
ptn-24	内閣府	
ptn-25	環境省	
ptn-25	厚生労働省	
ptn-26		
ptn-27	文部科学省	
ptn-27	最高裁判所	
ptn-27	財務省	
ptn-27	農林水産省地方農政局	
ptn-28	経済産業省	
ptn-28	国土交通省北海道開発局	
ptn-28	林野庁	
ptn-28	環境省	
ptn-28	厚生労働省	
ptn-29	農林水産省地方農政局	
ptn-29	法務省	
