partner_id	mainCategory	category	region	value	grade
ptn-1					
ptn-2	物品の販売	ゴム・皮革・プラスチック製品類	東北	1100	B
ptn-2	役務の提供等	翻訳・通訳・速記	関東・甲信越	1150	C
ptn-3	役務の提供等	調査・研究	関東・甲信越	1200	C
ptn-3	物品の買受け	その他	東海・北陸	1250	D
ptn-3	物品の製造	紙・紙加工品類	近畿	1300	A
ptn-4	物品の買受け	その他	東海・北陸	1300	D
ptn-5	物品の製造	フォーム印刷	近畿	1400	A
ptn-5	物品の販売	電子出版物類	中国	1450	B
ptn-6					
ptn-7	役務の提供等	会場等の借り上げ	四国	1600	C
ptn-8	物品の買受け	その他	九州・沖縄	1700	D
ptn-8	物品の製造	その他輸送・搬送機械器具類	北海道	1750	A
ptn-9	物品の製造	紙・紙加工品類	北海道	1800	A
ptn-9	物品の販売	船舶類	東北	1850	B
ptn-9	役務の提供等	その他	関東・甲信越	1900	C
ptn-10	物品の販売	車両類	東北	1900	B
ptn-11					
ptn-12	物品の買受け	その他	東海・北陸	2100	D
ptn-12	物品の製造	一般・産業用機器類	近畿	2150	A
ptn-12	物品の販売	精密機器類	中国	2200	B
ptn-13	物品の製造	燃料類	近畿	2200	A
ptn-14	物品の販売	家具・什器類	中国	2300	B
ptn-14	役務の提供等	写真・製図	四国	2350	C
ptn-15	役務の提供等	その他	四国	2400	C
ptn-15	物品の買受け	その他	九州・沖縄	2450	D
ptn-15	物品の製造	その他機器類	北海道	2500	A
ptn-16					
ptn-17	物品の製造	電子計算機類	北海道	2600	A
ptn-17	物品の販売	事務用機器類	東北	2650	B
ptn-18	物品の販売	精密機器類	東北	2700	B
ptn-18	役務の提供等	ソフトウェア開発	関東・甲信越	2750	C
ptn-18	物品の買受け	その他	東海・北陸	2800	D
ptn-19	役務の提供等	情報処理	関東・甲信越	2800	C
ptn-20	物品の買受け	その他	東海・北陸	2900	D
ptn-20	物品の製造	事務用品類	近畿	2950	A
ptn-21					
ptn-22	物品の販売	医薬品・医療用品類	中国	3100	B
ptn-23	役務の提供等	賃貸借	四国	3200	C
ptn-23	物品の買受け	その他	九州・沖縄	3250	D
ptn-24	物品の買受け	その他	九州・沖縄	3300	D
ptn-24	物品の製造	その他	北海道	3350	A
ptn-24	物品の販売	窯業・土石製品類	東北	3400	B
ptn-25	物品の製造	警察用装備品類	北海道	3400	A
ptn-26					
ptn-27	役務の提供等	船舶整備	関東・甲信越	3600	C
ptn-27	物品の買受け	その他	東海・北陸	3650	D
ptn-27	物品の製造	その他印刷類	近畿	3700	A
ptn-28	物品の買受け	その他	東海・北陸	3700	D
ptn-29	物品の製造	ゴム・皮革・プラスチック製品類	近畿	3800	A
ptn-29	物品の販売	フォーム印刷	中国	3850	B
ptn-30	物品の販売	窯業・土石製品類	中国	3900	B
ptn-30	役務の提供等	調査・研究	四国	3950	C
ptn-30	物品の買受け	その他	九州・沖縄	4000	D
ptn-31					
ptn-32	物品の買受け	その他	九州・沖縄	4100	D
ptn-32	物品の製造	電子出版物類	北海道	4150	A
ptn-33	物品の製造	その他印刷類	北海道	4200	A
ptn-33	物品の販売	紙・紙加工品類	東北	4250	B
ptn-33	役務の提供等	建物管理等各種保守管理	関東・甲信越	4300	C
ptn-34	物品の販売	図書類	東北	4300	B
ptn-35	役務の提供等	翻訳・通訳・速記	関東・甲信越	4400	C
ptn-35	物品の買受け	その他	東海・北陸	4450	D
ptn-36					
ptn-37	物品の製造	車両類	近畿	4600	A
ptn-38	物品の販売	その他輸送・搬送機械器具類	中国	4700	B
ptn-38	役務の提供等	車両整備	四国	4750	C
ptn-39	役務の提供等	建物管理等各種保守管理	四国	4800	C
ptn-39	物品の買受け	その他	九州・沖縄	4850	D
ptn-39	物品の製造	精密機器類	北海道	4900	A
ptn-40	物品の買受け	その他	九州・沖縄	4900	D
ptn-41					
ptn-42	物品の販売	一般・産業用機器類	東北	5100	B
ptn-42	役務の提供等	その他	関東・甲信越	5150	C
ptn-42	物品の買受け	その他	東海・北陸	5200	D
ptn-43	役務の提供等	電子出版	関東・甲信越	5200	C
ptn-44	物品の買受け	その他	東海・北陸	5300	D
ptn-44	物品の製造	事務用機器類	近畿	5350	A
ptn-45	物品の製造	精密機器類	近畿	5400	A
ptn-45	物品の販売	その他機器類	中国	5450	B
ptn-45	役務の提供等	ソフトウェア開発	四国	5500	C
ptn-46					
ptn-47	役務の提供等	写真・製図	四国	5600	C
ptn-47	物品の買受け	その他	九州・沖縄	5650	D
ptn-48	物品の買受け	その他	九州・沖縄	5700	D
ptn-48	物品の製造	土木・建設・建築材料	北海道	5750	A
ptn-48	物品の販売	その他	東北	5800	B
ptn-49	物品の製造	医薬品・医療用品類	北海道	5800	A
ptn-50	物品の販売	事務用品類	東北	5900	B
ptn-50	役務の提供等	賃貸借	関東・甲信越	5950	C
ptn-51					
ptn-52	物品の買受け	その他	東海・北陸	6100	D
ptn-53	物品の製造	防衛用装備品類	近畿	6200	A
ptn-53	物品の販売	ゴム・皮革・プラスチック製品類	中国	6250	B
ptn-54	物品の販売	その他	中国	6300	B
ptn-54	役務の提供等	船舶整備	四国	6350	C
ptn-54	物品の買受け	その他	九州・沖縄	6400	D
ptn-55	役務の提供等	運送	四国	6400	C
ptn-56					
ptn-57	物品の製造	窯業・土石製品類	北海道	6600	A
ptn-57	物品の販売	その他印刷類	東北	6650	B
ptn-57	役務の提供等	調査・研究	関東・甲信越	6700	C
ptn-58	物品の販売	非鉄金属・金属製品類	東北	6700	B
ptn-59	役務の提供等	防衛用装備品類の整備	関東・甲信越	6800	C
ptn-59	物品の買受け	その他	東海・北陸	6850	D
ptn-60	物品の買受け	その他	東海・北陸	6900	D
ptn-60	物品の製造	紙・紙加工品類	近畿	6950	A
ptn-60	物品の販売	船舶類	中国	7000	B
ptn-61					
ptn-62	物品の販売	電子出版物類	中国	7100	B
ptn-62	役務の提供等	翻訳・通訳・速記	四国	7150	C
ptn-63	役務の提供等	調査・研究	四国	7200	C
ptn-63	物品の買受け	その他	九州・沖縄	7250	D
ptn-63	物品の製造	一般・産業用機器類	北海道	7300	A
ptn-64	物品の買受け	その他	九州・沖縄	7300	D
ptn-65	物品の製造	その他輸送・搬送機械器具類	北海道	7400	A
ptn-65	物品の販売	家具・什器類	東北	7450	B
ptn-66					
ptn-67	役務の提供等	会場等の借り上げ	関東・甲信越	7600	C
ptn-68	物品の買受け	その他	東海・北陸	7700	D
ptn-68	物品の製造	電子計算機類	近畿	7750	A
ptn-69	物品の製造	一般・産業用機器類	近畿	7800	A
ptn-69	物品の販売	精密機器類	中国	7850	B
ptn-69	役務の提供等	その他	四国	7900	C
ptn-70	物品の販売	電気・通信用機器類	中国	7900	B
ptn-71					
ptn-72	物品の買受け	その他	九州・沖縄	8100	D
ptn-72	物品の製造	その他機器類	北海道	8150	A
ptn-72	物品の販売	土木・建設・建築材料	東北	8200	B
ptn-73	物品の製造	医療用機器類	北海道	8200	A
ptn-74	物品の販売	事務用機器類	東北	8300	B
