qualification_id	qualification_name	qualification_type	qualification_category	issuing_organization	parent_qualification_id	qualification_level	sort_order	remarks	created_at	updated_at
0001	監理技術者資格者証		監理技術者資格	一般財団法人 建設業技術者センター					2025/02/02	(自動)
0002	監理技術者講習修了証		監理技術者資格	一般財団法人 建設業技術者センター					2025/02/02	(自動)
0003	1級建設機械施工管理技士		建設業法（技術検定）	一般社団法人 日本建設機械施工協会		1			2025/02/02	(自動)
0004	2級建設機械施工管理技士		建設業法（技術検定）		3	2			2025/02/02	(自動)
0005	1級土木施工管理技士		建設業法（技術検定）			1			2025/02/02	(自動)
0006	1級土木施工管理技士補		建設業法（技術検定）		5	2			2025/02/02	(自動)
0007	2級土木施工管理技士	土木	建設業法（技術検定）		6	3		2級土木施工管理技士	2025/02/02	(自動)
0008	2級土木施工管理技士	鋼構造物塗装	建設業法（技術検定）		6	3		2級土木施工管理技士	2025/02/02	(自動)
0009	2級土木施工管理技士	薬液注入	建設業法（技術検定）		6	3		2級土木施工管理技士	2025/02/02	(自動)
0010	2級土木施工管理技士補		建設業法（技術検定）		7,8,9	4			2025/02/02	(自動)
0011	1級建築施工管理技士		建設業法（技術検定）			1			2025/02/02	(自動)
0012	1級建築施工管理技士補		建設業法（技術検定）		11	2			2025/02/02	(自動)
0013	2級建築施工管理技士	建築	建設業法（技術検定）		12	3		2級建築施工管理技士	2025/02/02	(自動)
0014	2級建築施工管理技士	躯体	建設業法（技術検定）		12	3		2級建築施工管理技士	2025/02/02	(自動)
0015	2級建築施工管理技士	仕上げ	建設業法（技術検定）		12	3		2級建築施工管理技士	2025/02/02	(自動)
0016	2級建築施工管理技士補		建設業法（技術検定）		13,14,15	4			2025/02/02	(自動)
0017	1級電気工事施工管理技士		建設業法（技術検定）			1			2025/02/02	(自動)
0018	1級電気工事施工管理技士補		建設業法（技術検定）		17	2			2025/02/02	(自動)
0019	2級電気工事施工管理技士		建設業法（技術検定）		18	3			2025/02/02	(自動)
0020	2級電気工事施工管理技士補		建設業法（技術検定）		19	4			2025/02/02	(自動)
0021	1級管工事施工管理技士		建設業法（技術検定）			1			2025/02/02	(自動)
0022	1級管工事施工管理技士補		建設業法（技術検定）		21	2			2025/02/02	(自動)
0023	2級管工事施工管理技士		建設業法（技術検定）		22	3			2025/02/02	(自動)
0024	2級管工事施工管理技士補		建設業法（技術検定）		23	4			2025/02/02	(自動)
0025	1級電気通信工事施工管理技士		建設業法（技術検定）			1			2025/02/02	(自動)
0026	2級電気通信工事施工管理技士		建設業法（技術検定）		25	2			2025/02/02	(自動)
0027	1級造園施工管理技士		建設業法（技術検定）			1			2025/02/02	(自動)
0028	1級造園施工管理技士補		建設業法（技術検定）		27	2			2025/02/02	(自動)
0029	2級造園施工管理技士		建設業法（技術検定）		28	3			2025/02/02	(自動)
0030	2級造園施工管理技士補		建設業法（技術検定）	一般財団法人全国建設研修センター	29	4			2025/02/02	(自動)
0031	1級建築士		建築士法（建築士試験）			1			2025/02/02	(自動)
0032	2級建築士		建築士法（建築士試験）		31	2			2025/02/02	(自動)
0033	木造建築士		建築士法（建築士試験）						2025/02/02	(自動)
0034	建築設備士		建築士法（建築士試験）						2025/02/02	(自動)
0035	建設(「鋼構造及びコンクリート」)・総合技術監理(建設)(「鋼構造及びコンクリート」)		技術士法（技術士試験）						2025/02/02	(自動)
0036	建設(「鋼構造及びコンクリート」を除く)・総合技術監理(建設)(「鋼構造及びコンクリート」を除く)		技術士法（技術士試験）						2025/02/02	(自動)
0037	農業「農業農村工学」・総合技術監理(農業「農業農村工学」)		技術士法（技術士試験）						2025/02/02	(自動)
0038	電気電子・総合技術監理(電気電子)		技術士法（技術士試験）						2025/02/02	(自動)
0039	機械「熱・動力エネルギー機器」又は「流体機器」・総合技術監理(機械「熱・動力エネルギー機器」又は「流体機器」)		技術士法（技術士試験）						2025/02/02	(自動)
