index	Unnamed: 0	Unnamed: 1	Unnamed: 2	区分	入札公告（現在募集中）	備考	落札情報（過去）	備考.1
0	内部部局	不明		建設工事	現在掲載なし（リンクなし）		現在掲載なし（リンクなし）	
1	内部部局	不明		建設関連業務	https://www.mod.go.jp/j/budget/chotatsu/naikyoku/consul/gyomu.html		https://www.mod.go.jp/j/budget/chotatsu/naikyoku/consul/kekka_gyomu.html	
2	内部部局	大臣官房 会計課		一般競争入札（政府調達）	https://www.mod.go.jp/j/budget/chotatsu/naikyoku/nyuusatu_seifu/index.html		https://www.mod.go.jp/j/budget/chotatsu/naikyoku/consul/kekka_gyomu.html	
3	内部部局	大臣官房 会計課		一般競争入札（政府調達以外）	https://www.mod.go.jp/j/budget/chotatsu/naikyoku/nyuusatu/index.html		https://www.mod.go.jp/j/budget/chotatsu/naikyoku/keiyaku/index.html	
4	内部部局	大臣官房 会計課		オープンカウンター方式	https://www.mod.go.jp/j/budget/chotatsu/naikyoku/mitsumori/index.html	「依頼中の案件」に記載	https://www.mod.go.jp/j/budget/chotatsu/naikyoku/mitsumori/index.html        	見積合せ（随意契約）結果に掲載
5	内部部局	大臣官房 会計課		公募	https://www.mod.go.jp/j/budget/chotatsu/naikyoku/koubo/index.html		https://www.mod.go.jp/j/budget/chotatsu/naikyoku/index.html	「低入札価格調査」に記載
6	内部部局	人事教育局 厚生課		業者の募集（福利厚生施設関連）	https://www.mod.go.jp/j/budget/chotatsu/naikyoku/boshu/index.html			
7	内部部局	地方協力局 在日米軍協力課		実弾射撃訓練の移転に伴う輸送等役務			https://www.mod.go.jp/j/budget/chotatsu/naikyoku/iten/index.html	
8	陸上自衛隊	北部方面	会計隊	入札公告	https://www.mod.go.jp/gsdf/nae/fin/nafin/infonafinR6.htm		https://www.mod.go.jp/gsdf/nae/fin/nafin/infonafinR6.htm	備考欄に「結　果」と記載あり
9	陸上自衛隊	北部方面		オープンカウンター	https://www.mod.go.jp/gsdf/nae/fin/nafin/openkauntaR6-.htm		https://www.mod.go.jp/gsdf/nae/fin/nafin/r5kensetukouzihattyuuzisseki.htm	工事実績
10	陸上自衛隊	北部方面					https://www.mod.go.jp/gsdf/nae/fin/nafin/infonafinR5.htm	前年度入札結果
11	陸上自衛隊	北部方面					https://www.mod.go.jp/gsdf/nae/fin/nafin/ppR5.htm	公共調達前年度分
12	陸上自衛隊	東北方面	会計隊	公共調達			https://www.mod.go.jp/gsdf/nae/fin/nafin/ppR6.htm	月別
13	陸上自衛隊	東北方面		物品（R7）	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-1.htm		https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-1.htm	
14	陸上自衛隊	東北方面		工事（R7）	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-2.htm		https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-2.htm	
15	陸上自衛隊	東北方面		役務（R7）	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-3.htm		https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-3.htm	
16	陸上自衛隊	東北方面		売払（R7）	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-4.htm		https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-4.htm	
17	陸上自衛隊	東北方面		糧食（R7）	https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-5.htm		https://www.mod.go.jp/gsdf/neae/koukoku/fin/gaiyou7-5.htm	
18	陸上自衛隊	東北方面		オープンカウンター	https://www.mod.go.jp/gsdf/neae/koukoku/fin/opencounter7.htm		https://www.mod.go.jp/gsdf/neae/koukoku/fin/opencounter7.htm	会計隊別
