master_name	master_name_jp	項目No	項目名	項目名(日本語)	意味・説明	データ型・フォーマット	区分	入力必須項目	制約・備考
agency_master	発注者機関マスター	1	agency_no	発注機関連番	発注機関をユニークに識別する数値主キー (AUTO_INCREMENT想定)	数値(連番)	PK		ユニーク/変更不可
agency_master	発注者機関マスター	2	agency_name	発注機関名称	例：「防衛省」「北海道防衛局」「法務省秋田法務局」など	文字列	NORMAL		
agency_master	発注者機関マスター	3	parent_agency_no	上位発注機関連番	大カテゴリーの場合はNULL。階層構造を表現するための親agency_no	数値(連番)	FK		FK→M_AGENCY.agency_no (Null可)
agency_master	発注者機関マスター	4	agency_level	発注機関階層レベル	0=中央省庁, 1=地方局, 2=さらに下位…	数値	NORMAL		
agency_master	発注者機関マスター	5	sort_order	ソート順	発注機関を画面表示するときの並び制御や階層順序を管理	数値	NORMAL		NULL可
agency_master	発注者機関マスター	6	agency_area	管轄地域	例：「北海道/東北/近畿中部/○○法務局」など自由に設定。	文字列	NORMAL		
agency_master	発注者機関マスター	7	official_site_url	公式サイトURL	発注機関の公式サイト (あれば)	文字列	NORMAL		
agency_master	発注者機関マスター	8	remarks	備考	自由記述メモ	文字列	NORMAL		
agency_master	発注者機関マスター	9	created_at	データ作成日時	レコード作成時刻	日時	NORMAL		自動設定
agency_master	発注者機関マスター	10	updated_at	更新日時	レコード更新時刻	日時	NORMAL		自動更新
company_master	企業マスター	1	company_no	企業連番	ユニークな主キー (企業を一意に識別)	数値(連番)	PK		変更不可
company_master	企業マスター	2	company_name	会社名	企業名称	文字列	NORMAL		Not Null
company_master	企業マスター	3	company_name_kana	会社名カナ	企業名のフリガナ	文字列	NORMAL		
company_master	企業マスター	4	corporate_number	法人番号	法人番号(あれば)	文字列	NORMAL		ユニークでなくても可
company_master	企業マスター	5	establishment_date	設立年月日	企業の設立日	日付	NORMAL		
company_master	企業マスター	6	address_headquarter	本社所在地	本社住所	文字列	NORMAL		
company_master	企業マスター	7	capital_amount	資本金	資本金の金額	数値	NORMAL		0以上
company_master	企業マスター	8	main_business	主たる事業	主な事業内容	文字列	NORMAL		
company_master	企業マスター	9	phone_main	代表電話番号	本社代表電話	文字列	NORMAL		
company_master	企業マスター	10	representative_name	代表者氏名	代表取締役など	文字列	NORMAL		
company_master	企業マスター	11	article70_flg	70条該当フラグ	予決令70条に該当(破産/暴力団等含む)	真偽値(Boolean)	NORMAL		デフォルト false
company_master	企業マスター	12	article71_flg	71条該当フラグ	予決令71条に該当	真偽値(Boolean)	NORMAL		デフォルト false
company_master	企業マスター	13	bankrupt_flg	破産フラグ	破産・倒産申請中かどうか	真偽値(Boolean)	NORMAL		デフォルト false
company_master	企業マスター	14	rehabilitation_flg	更生手続フラグ	会社更生法/民事再生法の手続開始有無	真偽値(Boolean)	NORMAL		デフォルト false
