master_name	master_name_jp	項目No	項目名	項目名(日本語)	意味・説明	データ型・フォーマット	区分	入力必須項目	制約・備考
bid_announcements_pre	判定前公告一覧テーブル	2	project_name	工事名	入札対象の工事名称	文字列	NORMAL		Not Null
bid_announcements_pre	判定前公告一覧テーブル	3	announcement_no_user	公告番号	発注機関が各公告に付与している番号	文字列	NORMAL		
bid_announcements_pre	判定前公告一覧テーブル	4	ministry_name	省庁名（最上位発注機関）	省庁名など最上位の発注機関名	文字列	NORMAL		Not Null
bid_announcements_pre	判定前公告一覧テーブル	5	issuing_org_name	実発注機関名	実際に発注を行う機関の名称	文字列	NORMAL		Not Null
bid_announcements_pre	判定前公告一覧テーブル	6	publish_date	公告掲載日（公告日）	公告が掲載された日付	日付	NORMAL		
bid_announcements_pre	判定前公告一覧テーブル	7	doc_distribution_end	入札説明書交付終了日	入札説明書の交付締切日時（書面交付やダウンロード期限など）	日付	NORMAL		
bid_announcements_pre	判定前公告一覧テーブル	8	application_deadline	申請書等提出期限（受付期限）	競争参加資格確認申請書等の提出期限	日付	NORMAL		
bid_announcements_pre	判定前公告一覧テーブル	9	opening_date	入札日（開札日）	開札予定日	日付	NORMAL		
bid_announcements_pre	判定前公告一覧テーブル	10	pdf_url	PDF URL	公告PDFのURL	文字列	NORMAL		
bid_announcements_pre	判定前公告一覧テーブル	11	ocr_executed_flg	OCR実行フラグ	OCRを実行済みかどうか	真偽値(Boolean)	NORMAL		デフォルトfalseなど運用可
bid_announcements_pre	判定前公告一覧テーブル	12	remarks	備考	ユーザーが入力する任意の補足情報	文字列	NORMAL		
bid_announcements_pre	判定前公告一覧テーブル	13	reason_not_transferred	転写不可理由	まだ正式な入札公告マスター（T_BID_ANNOUNCEMENT）へ転写できない理由などをメモ	文字列	NORMAL		
bid_announcements_pre	判定前公告一覧テーブル	14	created_at	データ作成日時	レコード作成時刻	日時	NORMAL		システム自動設定
bid_announcements_pre	判定前公告一覧テーブル	15	updated_at	更新日時	レコード更新時刻	日時	NORMAL		システム自動更新
bid_announcements	入札公告マスター	1	announcement_no	入札公告連番	入札公告を一意に識別する自動連番（システム内部用ID）	数値（連番）	PK		PK、ユニーク／変更不可
bid_announcements	入札公告マスター	2	project_name	工事名	入札公告の件名	文字列	NORMAL		Not Null
bid_announcements	入札公告マスター	3	announcement_no_user	公告番号	発注機関が各公告に付与している番号	文字列	NORMAL		
bid_announcements	入札公告マスター	4	parent_agency_no	発注機関連番（省庁）	最上位発注機関としての M_AGENCY.agency_no (中央省庁など)	数値(連番)	FK		FK→M_AGENCY.agency_no (省庁レベルの場合のID)
bid_announcements	入札公告マスター	5	ministry_name	省庁名（最上位発注機関）	例：「防衛省」「法務省」など。タイムスタンプ的に判定前公告一覧テーブルから転写。	文字列	NORMAL		Not Null
bid_announcements	入札公告マスター	6	agency_no	発注機関連番（実発注）	実際に発注する機関の M_AGENCY.agency_no	数値(連番)	FK		FK→M_AGENCY.agency_no
